"Name","Resident Jobs"
"Description","Industry number and percentages refer to the total and share of workers (aged 16 and over) in an industry, by the residence of the jobholder. CCC generated 5-year estimates and coded this variable to correspond with broader categories outlined by the <a href=""https://www.naics.com/naics-code-description/"" target=""_blank"">North American Industry Classification System</a>.&nbsp;<br />
<br />
""Management and Professional Services"" includes workers in Legal Services, Scientific Research and Development, Architectural and Engineering Services, and other professions which tend to require advanced degrees or certificates.<br />
<br />
""Other Services"" includes workers in Auto Repair and Maintenance, Barber Shops, Beauty Salons, and Religious Organizations, among others.<br />
Jamaica/St. Albans,Other Services,2010,Percent,0.05481,412
Queens Village,Other Services,2010,Percent,0.04259,413
The Rockaways,Other Services,2010,Percent,0.06569,414
St. George,Other Services,2010,Percent,0.04984,501
South Beach,Other Services,2010,Percent,0.0431,502
Tottenville,Other Services,2010,Percent,0.04276,503
Bronx,Other Services,2010,Percent,0.063,36005
Brooklyn,Other Services,2010,Percent,0.05504,36047
Manhattan,Other Services,2010,Percent,0.04331,36061
Queens,Other Services,2010,Percent,0.06813,36081
Staten Island,Other Services,2010,Percent,0.0454,36085
New York City,Other Services,2010,Percent,0.05672,3651000
Battery Park/Tribeca,Public Administration,2010,Number,692.99607,101
Greenwich Village,Public Administration,2010,Number,1023.00393,102
Lower East Side,Public Administration,2010,Number,2480,103
Chelsea/Clinton,Public Administration,2010,Number,1299.57623,104
Midtown Business District,Public Administration,2010,Number,650.42377,105
Murray Hill/Stuyvesant,Public Administration,2010,Number,3621,106
Upper West Side,Public Administration,2010,Number,2832,107
Upper East Side,Public Administration,2010,Number,3294,108
Manhattanville,Public Administration,2010,Number,1323,109
Central Harlem,Public Administration,2010,Number,3085,110
East Harlem,Public Administration,2010,Number,1791,111
Washington Heights,Public Administration,2010,Number,2704,112
Mott Haven,Public Administration,2010,Number,836.40287,201
Hunts Point,Public Administration,2010,Number,477.59713,202
Morrisania,Public Administration,2010,Number,823.40334,203
Concourse/Highbridge,Public Administration,2010,Number,1922,204
University Heights,Public Administration,2010,Number,1018,205
East Tremont,Public Administration,2010,Number,859.59666,206
Bedford Park,Public Administration,2010,Number,1316,207
Riverdale,Public Administration,2010,Number,1900,208
Unionport/Soundview,Public Administration,2010,Number,3527,209
Throgs Neck,Public Administration,2010,Number,3392,210
Pelham Parkway,Public Administration,2010,Number,2530,211
Williamsbridge,Public Administration,2010,Number,2931,212
Williamsburg/Greenpoint,Public Administration,2010,Number,1507,301
Fort Greene/Brooklyn Hts,Public Administration,2010,Number,3366,302
Bedford Stuyvesant,Public Administration,2010,Number,3236,303
Bushwick,Public Administration,2010,Number,1909,304
East New York,Public Administration,2010,Number,3384,305
Park Slope,Public Administration,2010,Number,2615,306
Sunset Park,Public Administration,2010,Number,1873,307
Crown Heights North,Public Administration,2010,Number,2955,308
Crown Heights South,Public Administration,2010,Number,2353,309
Bay Ridge,Public Administration,2010,Number,3205,310
Bensonhurst,Public Administration,2010,Number,2027,311
Borough Park,Public Administration,2010,Number,1220,312
Coney Island,Public Administration,2010,Number,1512,313
Flatbush/Midwood,Public Administration,2010,Number,2426,314
Sheepshead Bay,Public Administration,2010,Number,2722,315
Brownsville,Public Administration,2010,Number,2590,316
East Flatbush,Public Administration,2010,Number,3554,317
Canarsie,Public Administration,2010,Number,6011,318
Astoria,Public Administration,2010,Number,2380,401
Sunnyside/Woodside,Public Administration,2010,Number,2207,402
Jackson Heights,Public Administration,2010,Number,2080,403
Elmhurst/Corona,Public Administration,2010,Number,1793,404
Ridgewood/Glendale,Public Administration,2010,Number,3481,405
Rego Park/Forest Hills,Public Administration,2010,Number,2497,406
Flushing,Public Administration,2010,Number,3878,407
Fresh Meadows/Briarwood,Public Administration,2010,Number,2920,408
Woodhaven,Public Administration,2010,Number,2997,409
Howard Beach,Public Administration,2010,Number,2591,410
Bayside,Public Administration,2010,Number,2462,411
Jamaica/St. Albans,Public Administration,2010,Number,6766,412
Queens Village,Public Administration,2010,Number,6440,413
The Rockaways,Public Administration,2010,Number,2778,414
St. George,Public Administration,2010,Number,6045,501
South Beach,Public Administration,2010,Number,4385,502
Tottenville,Public Administration,2010,Number,6007,503
Bronx,Public Administration,2010,Number,21533,36005
Brooklyn,Public Administration,2010,Number,48465,36047
Manhattan,Public Administration,2010,Number,24796,36061
Queens,Public Administration,2010,Number,45270,36081
Staten Island,Public Administration,2010,Number,16437,36085
New York City,Public Administration,2010,Number,156501,3651000
Battery Park/Tribeca,Public Administration,2010,Percent,0.0191,101
Greenwich Village,Public Administration,2010,Percent,0.0191,102
Lower East Side,Public Administration,2010,Percent,0.031,103
Chelsea/Clinton,Public Administration,2010,Percent,0.02185,104
Midtown Business District,Public Administration,2010,Percent,0.02185,105
Murray Hill/Stuyvesant,Public Administration,2010,Percent,0.03778,106
Upper West Side,Public Administration,2010,Percent,0.02517,107
Upper East Side,Public Administration,2010,Percent,0.0256,108
Manhattanville,Public Administration,2010,Percent,0.02341,109
Central Harlem,Public Administration,2010,Percent,0.05972,110
East Harlem,Public Administration,2010,Percent,0.03867,111
Washington Heights,Public Administration,2010,Percent,0.02775,112
Mott Haven,Public Administration,2010,Percent,0.02822,201
Hunts Point,Public Administration,2010,Percent,0.02822,202
Morrisania,Public Administration,2010,Percent,0.03397,203
Concourse/Highbridge,Public Administration,2010,Percent,0.03676,204
University Heights,Public Administration,2010,Percent,0.01999,205
East Tremont,Public Administration,2010,Percent,0.03397,206
Bedford Park,Public Administration,2010,Percent,0.02676,207
Riverdale,Public Administration,2010,Percent,0.03817,208
Unionport/Soundview,Public Administration,2010,Percent,0.04875,209
Throgs Neck,Public Administration,2010,Percent,0.06705,210
Pelham Parkway,Public Administration,2010,Percent,0.04778,211
Williamsbridge,Public Administration,2010,Percent,0.0466,212
Williamsburg/Greenpoint,Public Administration,2010,Percent,0.02247,301
Fort Greene/Brooklyn Hts,Public Administration,2010,Percent,0.05456,302
Bedford Stuyvesant,Public Administration,2010,Percent,0.06489,303
Bushwick,Public Administration,2010,Percent,0.03552,304
East New York,Public Administration,2010,Percent,0.05806,305
Park Slope,Public Administration,2010,Percent,0.03989,306
Sunset Park,Public Administration,2010,Percent,0.02693,307
Crown Heights North,Public Administration,2010,Percent,0.0531,308
Crown Heights South,Public Administration,2010,Percent,0.04757,309
Bay Ridge,Public Administration,2010,Percent,0.05624,310
Bensonhurst,Public Administration,2010,Percent,0.02789,311
Borough Park,Public Administration,2010,Percent,0.02118,312
Coney Island,Public Administration,2010,Percent,0.0378,313
Flatbush/Midwood,Public Administration,2010,Percent,0.03557,314
Sheepshead Bay,Public Administration,2010,Percent,0.04515,315
Brownsville,Public Administration,2010,Percent,0.06578,316
East Flatbush,Public Administration,2010,Percent,0.05433,317
Canarsie,Public Administration,2010,Percent,0.06346,318
Astoria,Public Administration,2010,Percent,0.02629,401
Sunnyside/Woodside,Public Administration,2010,Percent,0.03222,402
Jackson Heights,Public Administration,2010,Percent,0.02286,403
Elmhurst/Corona,Public Administration,2010,Percent,0.02701,404
Ridgewood/Glendale,Public Administration,2010,Percent,0.04365,405
Rego Park/Forest Hills,Public Administration,2010,Percent,0.04339,406
Flushing,Public Administration,2010,Percent,0.03272,407
Fresh Meadows/Briarwood,Public Administration,2010,Percent,0.04124,408
Woodhaven,Public Administration,2010,Percent,0.04471,409
Howard Beach,Public Administration,2010,Percent,0.04431,410
Bayside,Public Administration,2010,Percent,0.04264,411
Jamaica/St. Albans,Public Administration,2010,Percent,0.06966,412
Queens Village,Public Administration,2010,Percent,0.06494,413
The Rockaways,Public Administration,2010,Percent,0.06392,414
St. George,Public Administration,2010,Percent,0.08118,501
South Beach,Public Administration,2010,Percent,0.07386,502
Tottenville,Public Administration,2010,Percent,0.08111,503
Bronx,Public Administration,2010,Percent,0.04009,36005
Brooklyn,Public Administration,2010,Percent,0.04462,36047
Manhattan,Public Administration,2010,Percent,0.02924,36061
Queens,Public Administration,2010,Percent,0.04247,36081
Staten Island,Public Administration,2010,Percent,0.07907,36085
New York City,Public Administration,2010,Percent,0.04179,3651000
Battery Park/Tribeca,Retail,2010,Number,2516.75494,101
Greenwich Village,Retail,2010,Number,3715.24506,102
Lower East Side,Retail,2010,Number,6432,103
Chelsea/Clinton,Retail,2010,Number,4449.21584,104
Midtown Business District,Retail,2010,Number,2226.78416,105
Murray Hill/Stuyvesant,Retail,2010,Number,6141,106
Upper West Side,Retail,2010,Number,5583,107
Upper East Side,Retail,2010,Number,7257,108
Manhattanville,Retail,2010,Number,4764,109
Central Harlem,Retail,2010,Number,5187,110
East Harlem,Retail,2010,Number,4664,111
Washington Heights,Retail,2010,Number,10730,112
Mott Haven,Retail,2010,Number,3824.28345,201
Hunts Point,Retail,2010,Number,2183.71655,202
Morrisania,Retail,2010,Number,3288.23163,203
Concourse/Highbridge,Retail,2010,Number,6603,204
University Heights,Retail,2010,Number,6849,205
East Tremont,Retail,2010,Number,3432.76837,206
Bedford Park,Retail,2010,Number,7661,207
Riverdale,Retail,2010,Number,4997,208
Unionport/Soundview,Retail,2010,Number,7975,209
Throgs Neck,Retail,2010,Number,3764,210
Pelham Parkway,Retail,2010,Number,4958,211
Williamsbridge,Retail,2010,Number,6432,212
Williamsburg/Greenpoint,Retail,2010,Number,5686,301
Fort Greene/Brooklyn Hts,Retail,2010,Number,3970,302
Bedford Stuyvesant,Retail,2010,Number,5311,303
Bushwick,Retail,2010,Number,6102,304
East New York,Retail,2010,Number,6230,305
Park Slope,Retail,2010,Number,4259,306
Sunset Park,Retail,2010,Number,6121,307
Crown Heights North,Retail,2010,Number,4294,308
Crown Heights South,Retail,2010,Number,4900,309
Bay Ridge,Retail,2010,Number,4919,310
Bensonhurst,Retail,2010,Number,8244,311
Borough Park,Retail,2010,Number,6852,312
Coney Island,Retail,2010,Number,3810,313
Flatbush/Midwood,Retail,2010,Number,6724,314
Sheepshead Bay,Retail,2010,Number,6153,315
Brownsville,Retail,2010,Number,3633,316
East Flatbush,Retail,2010,Number,5509,317
Canarsie,Retail,2010,Number,8034,318
Astoria,Retail,2010,Number,8400,401
Sunnyside/Woodside,Retail,2010,Number,7179,402
Jackson Heights,Retail,2010,Number,10419,403
Elmhurst/Corona,Retail,2010,Number,7252,404
Ridgewood/Glendale,Retail,2010,Number,8849,405
Rego Park/Forest Hills,Retail,2010,Number,5442,406
Flushing,Retail,2010,Number,12652,407
Fresh Meadows/Briarwood,Retail,2010,Number,7248,408
Woodhaven,Retail,2010,Number,7004,409
Howard Beach,Retail,2010,Number,7051,410
Bayside,Retail,2010,Number,6026,411
Jamaica/St. Albans,Retail,2010,Number,10627,412
Queens Village,Retail,2010,Number,10064,413
The Rockaways,Retail,2010,Number,3276,414
St. George,Retail,2010,Number,6726,501
South Beach,Retail,2010,Number,6142,502
Tottenville,Retail,2010,Number,7108,503
Bronx,Retail,2010,Number,61968,36005
Brooklyn,Retail,2010,Number,100751,36047
Manhattan,Retail,2010,Number,63666,36061
Queens,Retail,2010,Number,111489,36081
Staten Island,Retail,2010,Number,19976,36085
New York City,Retail,2010,Number,357850,3651000
Battery Park/Tribeca,Retail,2010,Percent,0.06937,101
Greenwich Village,Retail,2010,Percent,0.06937,102
Lower East Side,Retail,2010,Percent,0.08041,103
Chelsea/Clinton,Retail,2010,Percent,0.07481,104
Midtown Business District,Retail,2010,Percent,0.07481,105
Murray Hill/Stuyvesant,Retail,2010,Percent,0.06407,106
Upper West Side,Retail,2010,Percent,0.04962,107
Upper East Side,Retail,2010,Percent,0.0564,108
Manhattanville,Retail,2010,Percent,0.08431,109
Central Harlem,Retail,2010,Percent,0.10041,110
East Harlem,Retail,2010,Percent,0.10071,111
Washington Heights,Retail,2010,Percent,0.11011,112
Mott Haven,Retail,2010,Percent,0.12901,201
Hunts Point,Retail,2010,Percent,0.12901,202
Morrisania,Retail,2010,Percent,0.13565,203
Concourse/Highbridge,Retail,2010,Percent,0.1263,204
University Heights,Retail,2010,Percent,0.13449,205
East Tremont,Retail,2010,Percent,0.13565,206
Bedford Park,Retail,2010,Percent,0.1558,207
Riverdale,Retail,2010,Percent,0.10039,208
Unionport/Soundview,Retail,2010,Percent,0.11023,209
Throgs Neck,Retail,2010,Percent,0.0744,210
Pelham Parkway,Retail,2010,Percent,0.09363,211
Williamsbridge,Retail,2010,Percent,0.10225,212
Williamsburg/Greenpoint,Retail,2010,Percent,0.08476,301
Fort Greene/Brooklyn Hts,Retail,2010,Percent,0.06435,302
Bedford Stuyvesant,Retail,2010,Percent,0.10649,303
Bushwick,Retail,2010,Percent,0.11353,304
East New York,Retail,2010,Percent,0.10688,305
Park Slope,Retail,2010,Percent,0.06497,306
Sunset Park,Retail,2010,Percent,0.088,307
Crown Heights North,Retail,2010,Percent,0.07716,308
Crown Heights South,Retail,2010,Percent,0.09906,309
Bay Ridge,Retail,2010,Percent,0.08632,310
Bensonhurst,Retail,2010,Percent,0.11344,311
Borough Park,Retail,2010,Percent,0.11895,312
Coney Island,Retail,2010,Percent,0.09524,313
Flatbush/Midwood,Retail,2010,Percent,0.0986,314
Sheepshead Bay,Retail,2010,Percent,0.10207,315
Brownsville,Retail,2010,Percent,0.09227,316
East Flatbush,Retail,2010,Percent,0.08421,317
Canarsie,Retail,2010,Percent,0.08481,318
Astoria,Retail,2010,Percent,0.0928,401
Sunnyside/Woodside,Retail,2010,Percent,0.10482,402
Jackson Heights,Retail,2010,Percent,0.11452,403
Elmhurst/Corona,Retail,2010,Percent,0.10923,404
Ridgewood/Glendale,Retail,2010,Percent,0.11096,405
Rego Park/Forest Hills,Retail,2010,Percent,0.09457,406
Flushing,Retail,2010,Percent,0.10676,407
Fresh Meadows/Briarwood,Retail,2010,Percent,0.10237,408
Woodhaven,Retail,2010,Percent,0.1045,409
Howard Beach,Retail,2010,Percent,0.12058,410
Bayside,Retail,2010,Percent,0.10438,411
Jamaica/St. Albans,Retail,2010,Percent,0.10942,412
Queens Village,Retail,2010,Percent,0.10148,413
The Rockaways,Retail,2010,Percent,0.07538,414
St. George,Retail,2010,Percent,0.09033,501
South Beach,Retail,2010,Percent,0.10345,502
Tottenville,Retail,2010,Percent,0.09598,503
Bronx,Retail,2010,Percent,0.11538,36005
Brooklyn,Retail,2010,Percent,0.09276,36047
Manhattan,Retail,2010,Percent,0.07508,36061
Queens,Retail,2010,Percent,0.10459,36081
Staten Island,Retail,2010,Percent,0.09609,36085
New York City,Retail,2010,Percent,0.09555,3651000
Battery Park/Tribeca,"Transportation, Warehousing, Wholesale",2010,Number,1204.66624,101
Greenwich Village,"Transportation, Warehousing, Wholesale",2010,Number,1778.33376,102
Lower East Side,"Transportation, Warehousing, Wholesale",2010,Number,4378,103
Chelsea/Clinton,"Transportation, Warehousing, Wholesale",2010,Number,2347.2346,104
Midtown Business District,"Transportation, Warehousing, Wholesale",2010,Number,1174.7654,105
Murray Hill/Stuyvesant,"Transportation, Warehousing, Wholesale",2010,Number,4089,106
Upper West Side,"Transportation, Warehousing, Wholesale",2010,Number,4151,107
Upper East Side,"Transportation, Warehousing, Wholesale",2010,Number,5127,108
Manhattanville,"Transportation, Warehousing, Wholesale",2010,Number,3083,109
Central Harlem,"Transportation, Warehousing, Wholesale",2010,Number,3885,110
East Harlem,"Transportation, Warehousing, Wholesale",2010,Number,3031,111
Washington Heights,"Transportation, Warehousing, Wholesale",2010,Number,6530,112
Mott Haven,"Transportation, Warehousing, Wholesale",2010,Number,2418.18456,201
Hunts Point,"Transportation, Warehousing, Wholesale",2010,Number,1380.81544,202
Morrisania,"Transportation, Warehousing, Wholesale",2010,Number,2115.99491,203
Concourse/Highbridge,"Transportation, Warehousing, Wholesale",2010,Number,4801,204
University Heights,"Transportation, Warehousing, Wholesale",2010,Number,5221,205
East Tremont,"Transportation, Warehousing, Wholesale",2010,Number,2209.00509,206
Bedford Park,"Transportation, Warehousing, Wholesale",2010,Number,4193,207
Riverdale,"Transportation, Warehousing, Wholesale",2010,Number,3452,208
Unionport/Soundview,"Transportation, Warehousing, Wholesale",2010,Number,7053,209
Throgs Neck,"Transportation, Warehousing, Wholesale",2010,Number,4805,210
Pelham Parkway,"Transportation, Warehousing, Wholesale",2010,Number,4111,211
Williamsbridge,"Transportation, Warehousing, Wholesale",2010,Number,5241,212
Williamsburg/Greenpoint,"Transportation, Warehousing, Wholesale",2010,Number,4260,301
Fort Greene/Brooklyn Hts,"Transportation, Warehousing, Wholesale",2010,Number,3218,302
Bedford Stuyvesant,"Transportation, Warehousing, Wholesale",2010,Number,4459,303
Bushwick,"Transportation, Warehousing, Wholesale",2010,Number,5236,304
East New York,"Transportation, Warehousing, Wholesale",2010,Number,6682,305
Park Slope,"Transportation, Warehousing, Wholesale",2010,Number,2775,306
Sunset Park,"Transportation, Warehousing, Wholesale",2010,Number,5374,307
Crown Heights North,"Transportation, Warehousing, Wholesale",2010,Number,4300,308
Crown Heights South,"Transportation, Warehousing, Wholesale",2010,Number,4826,309
Bay Ridge,"Transportation, Warehousing, Wholesale",2010,Number,4067,310
Bensonhurst,"Transportation, Warehousing, Wholesale",2010,Number,8498,311
Borough Park,"Transportation, Warehousing, Wholesale",2010,Number,5351,312
Coney Island,"Transportation, Warehousing, Wholesale",2010,Number,4643,313
Flatbush/Midwood,"Transportation, Warehousing, Wholesale",2010,Number,6374,314
Sheepshead Bay,"Transportation, Warehousing, Wholesale",2010,Number,6080,315
Brownsville,"Transportation, Warehousing, Wholesale",2010,Number,4014,316
East Flatbush,"Transportation, Warehousing, Wholesale",2010,Number,5956,317
Canarsie,"Transportation, Warehousing, Wholesale",2010,Number,9932,318
Astoria,"Transportation, Warehousing, Wholesale",2010,Number,7706,401
Sunnyside/Woodside,"Transportation, Warehousing, Wholesale",2010,Number,6627,402
Jackson Heights,"Transportation, Warehousing, Wholesale",2010,Number,9536,403
Elmhurst/Corona,"Transportation, Warehousing, Wholesale",2010,Number,6393,404
Ridgewood/Glendale,"Transportation, Warehousing, Wholesale",2010,Number,7745,405
Rego Park/Forest Hills,"Transportation, Warehousing, Wholesale",2010,Number,5095,406
Flushing,"Transportation, Warehousing, Wholesale",2010,Number,13358,407
Fresh Meadows/Briarwood,"Transportation, Warehousing, Wholesale",2010,Number,7963,408
Woodhaven,"Transportation, Warehousing, Wholesale",2010,Number,8317,409
Howard Beach,"Transportation, Warehousing, Wholesale",2010,Number,7797,410
Bayside,"Transportation, Warehousing, Wholesale",2010,Number,6138,411
Jamaica/St. Albans,"Transportation, Warehousing, Wholesale",2010,Number,11722,412
Queens Village,"Transportation, Warehousing, Wholesale",2010,Number,11910,413
The Rockaways,"Transportation, Warehousing, Wholesale",2010,Number,4569,414
St. George,"Transportation, Warehousing, Wholesale",2010,Number,5602,501
South Beach,"Transportation, Warehousing, Wholesale",2010,Number,5158,502
Tottenville,"Transportation, Warehousing, Wholesale",2010,Number,6485,503
Bronx,"Transportation, Warehousing, Wholesale",2010,Number,47001,36005
Brooklyn,"Transportation, Warehousing, Wholesale",2010,Number,96045,36047
Manhattan,"Transportation, Warehousing, Wholesale",2010,Number,40779,36061
Queens,"Transportation, Warehousing, Wholesale",2010,Number,114876,36081
Staten Island,"Transportation, Warehousing, Wholesale",2010,Number,17245,36085
New York City,"Transportation, Warehousing, Wholesale",2010,Number,315946,3651000
Battery Park/Tribeca,"Transportation, Warehousing, Wholesale",2010,Percent,0.0332,101
Greenwich Village,"Transportation, Warehousing, Wholesale",2010,Percent,0.0332,102
Lower East Side,"Transportation, Warehousing, Wholesale",2010,Percent,0.05473,103
Chelsea/Clinton,"Transportation, Warehousing, Wholesale",2010,Percent,0.03947,104
Midtown Business District,"Transportation, Warehousing, Wholesale",2010,Percent,0.03947,105
Murray Hill/Stuyvesant,"Transportation, Warehousing, Wholesale",2010,Percent,0.04266,106
Upper West Side,"Transportation, Warehousing, Wholesale",2010,Percent,0.0369,107
Upper East Side,"Transportation, Warehousing, Wholesale",2010,Percent,0.03985,108
Manhattanville,"Transportation, Warehousing, Wholesale",2010,Percent,0.05456,109
Central Harlem,"Transportation, Warehousing, Wholesale",2010,Percent,0.0752,110
East Harlem,"Transportation, Warehousing, Wholesale",2010,Percent,0.06545,111
Washington Heights,"Transportation, Warehousing, Wholesale",2010,Percent,0.06701,112
Mott Haven,"Transportation, Warehousing, Wholesale",2010,Percent,0.08158,201
Hunts Point,"Transportation, Warehousing, Wholesale",2010,Percent,0.08158,202
Morrisania,"Transportation, Warehousing, Wholesale",2010,Percent,0.08729,203
Concourse/Highbridge,"Transportation, Warehousing, Wholesale",2010,Percent,0.09183,204
University Heights,"Transportation, Warehousing, Wholesale",2010,Percent,0.10252,205
East Tremont,"Transportation, Warehousing, Wholesale",2010,Percent,0.08729,206
Bedford Park,"Transportation, Warehousing, Wholesale",2010,Percent,0.08527,207
Riverdale,"Transportation, Warehousing, Wholesale",2010,Percent,0.06935,208
Unionport/Soundview,"Transportation, Warehousing, Wholesale",2010,Percent,0.09748,209
Throgs Neck,"Transportation, Warehousing, Wholesale",2010,Percent,0.09498,210
Pelham Parkway,"Transportation, Warehousing, Wholesale",2010,Percent,0.07764,211
Williamsbridge,"Transportation, Warehousing, Wholesale",2010,Percent,0.08332,212
Williamsburg/Greenpoint,"Transportation, Warehousing, Wholesale",2010,Percent,0.06351,301
Fort Greene/Brooklyn Hts,"Transportation, Warehousing, Wholesale",2010,Percent,0.05216,302
Bedford Stuyvesant,"Transportation, Warehousing, Wholesale",2010,Percent,0.08941,303
Bushwick,"Transportation, Warehousing, Wholesale",2010,Percent,0.09742,304
East New York,"Transportation, Warehousing, Wholesale",2010,Percent,0.11464,305
Park Slope,"Transportation, Warehousing, Wholesale",2010,Percent,0.04233,306
Sunset Park,"Transportation, Warehousing, Wholesale",2010,Percent,0.07726,307
Crown Heights North,"Transportation, Warehousing, Wholesale",2010,Percent,0.07727,308
Crown Heights South,"Transportation, Warehousing, Wholesale",2010,Percent,0.09757,309
Bay Ridge,"Transportation, Warehousing, Wholesale",2010,Percent,0.07137,310
Bensonhurst,"Transportation, Warehousing, Wholesale",2010,Percent,0.11694,311
Borough Park,"Transportation, Warehousing, Wholesale",2010,Percent,0.09289,312
Coney Island,"Transportation, Warehousing, Wholesale",2010,Percent,0.11607,313
Flatbush/Midwood,"Transportation, Warehousing, Wholesale",2010,Percent,0.09346,314
Sheepshead Bay,"Transportation, Warehousing, Wholesale",2010,Percent,0.10086,315
Brownsville,"Transportation, Warehousing, Wholesale",2010,Percent,0.10195,316
East Flatbush,"Transportation, Warehousing, Wholesale",2010,Percent,0.09104,317
Canarsie,"Transportation, Warehousing, Wholesale",2010,Percent,0.10485,318
Astoria,"Transportation, Warehousing, Wholesale",2010,Percent,0.08513,401
Sunnyside/Woodside,"Transportation, Warehousing, Wholesale",2010,Percent,0.09676,402
Jackson Heights,"Transportation, Warehousing, Wholesale",2010,Percent,0.10481,403
Elmhurst/Corona,"Transportation, Warehousing, Wholesale",2010,Percent,0.09629,404
Ridgewood/Glendale,"Transportation, Warehousing, Wholesale",2010,Percent,0.09711,405
Rego Park/Forest Hills,"Transportation, Warehousing, Wholesale",2010,Percent,0.08854,406
Flushing,"Transportation, Warehousing, Wholesale",2010,Percent,0.11272,407
Fresh Meadows/Briarwood,"Transportation, Warehousing, Wholesale",2010,Percent,0.11247,408
Woodhaven,"Transportation, Warehousing, Wholesale",2010,Percent,0.12409,409
Howard Beach,"Transportation, Warehousing, Wholesale",2010,Percent,0.13333,410
Bayside,"Transportation, Warehousing, Wholesale",2010,Percent,0.10632,411
Jamaica/St. Albans,"Transportation, Warehousing, Wholesale",2010,Percent,0.12069,412
Queens Village,"Transportation, Warehousing, Wholesale",2010,Percent,0.12009,413
The Rockaways,"Transportation, Warehousing, Wholesale",2010,Percent,0.10513,414
St. George,"Transportation, Warehousing, Wholesale",2010,Percent,0.07524,501
South Beach,"Transportation, Warehousing, Wholesale",2010,Percent,0.08688,502
Tottenville,"Transportation, Warehousing, Wholesale",2010,Percent,0.08757,503
Bronx,"Transportation, Warehousing, Wholesale",2010,Percent,0.08751,36005
Brooklyn,"Transportation, Warehousing, Wholesale",2010,Percent,0.08843,36047
Manhattan,"Transportation, Warehousing, Wholesale",2010,Percent,0.04809,36061
Queens,"Transportation, Warehousing, Wholesale",2010,Percent,0.10777,36081
Staten Island,"Transportation, Warehousing, Wholesale",2010,Percent,0.08295,36085
New York City,"Transportation, Warehousing, Wholesale",2010,Percent,0.08436,3651000
Battery Park/Tribeca,Construction and Manufacturing,2015,Number,1296.74264,101
Greenwich Village,Construction and Manufacturing,2015,Number,1914.25736,102
Lower East Side,Construction and Manufacturing,2015,Number,4796,103
Chelsea/Clinton,Construction and Manufacturing,2015,Number,3262.936,104
Midtown Business District,Construction and Manufacturing,2015,Number,1633.064,105
Murray Hill/Stuyvesant,Construction and Manufacturing,2015,Number,3419,106
Upper West Side,Construction and Manufacturing,2015,Number,3934,107
Upper East Side,Construction and Manufacturing,2015,Number,5157,108
Manhattanville,Construction and Manufacturing,2015,Number,3616,109
Central Harlem,Construction and Manufacturing,2015,Number,2836,110
East Harlem,Construction and Manufacturing,2015,Number,2962,111
Washington Heights,Construction and Manufacturing,2015,Number,7678,112
Mott Haven,Construction and Manufacturing,2015,Number,3029.89168,201
Hunts Point,Construction and Manufacturing,2015,Number,1730.10832,202
Morrisania,Construction and Manufacturing,2015,Number,2083.21533,203
Concourse/Highbridge,Construction and Manufacturing,2015,Number,4327,204
University Heights,Construction and Manufacturing,2015,Number,4624,205
East Tremont,Construction and Manufacturing,2015,Number,2174.78467,206
Bedford Park,Construction and Manufacturing,2015,Number,5432,207
Riverdale,Construction and Manufacturing,2015,Number,2888,208
Unionport/Soundview,Construction and Manufacturing,2015,Number,7585,209
Throgs Neck,Construction and Manufacturing,2015,Number,4071,210
Pelham Parkway,Construction and Manufacturing,2015,Number,6309,211
Williamsbridge,Construction and Manufacturing,2015,Number,4934,212
Williamsburg/Greenpoint,Construction and Manufacturing,2015,Number,7149,301
Fort Greene/Brooklyn Hts,Construction and Manufacturing,2015,Number,3919,302
Bedford Stuyvesant,Construction and Manufacturing,2015,Number,3961,303
Bushwick,Construction and Manufacturing,2015,Number,8851,304
East New York,Construction and Manufacturing,2015,Number,5777,305
Park Slope,Construction and Manufacturing,2015,Number,2944,306
Sunset Park,Construction and Manufacturing,2015,Number,10255,307
Crown Heights North,Construction and Manufacturing,2015,Number,3498,308
Crown Heights South,Construction and Manufacturing,2015,Number,3335,309
Bay Ridge,Construction and Manufacturing,2015,Number,6291,310
Bensonhurst,Construction and Manufacturing,2015,Number,12246,311
Borough Park,Construction and Manufacturing,2015,Number,6987,312
Coney Island,Construction and Manufacturing,2015,Number,4629,313
Flatbush/Midwood,Construction and Manufacturing,2015,Number,5894,314
Sheepshead Bay,Construction and Manufacturing,2015,Number,6591,315
Brownsville,Construction and Manufacturing,2015,Number,2932,316
East Flatbush,Construction and Manufacturing,2015,Number,4516,317
Canarsie,Construction and Manufacturing,2015,Number,6517,318
Astoria,Construction and Manufacturing,2015,Number,7989,401
Sunnyside/Woodside,Construction and Manufacturing,2015,Number,7317,402
Jackson Heights,Construction and Manufacturing,2015,Number,13923,403
Elmhurst/Corona,Construction and Manufacturing,2015,Number,9164,404
Ridgewood/Glendale,Construction and Manufacturing,2015,Number,13023,405
Rego Park/Forest Hills,Construction and Manufacturing,2015,Number,4333,406
Flushing,Construction and Manufacturing,2015,Number,12610,407
Fresh Meadows/Briarwood,Construction and Manufacturing,2015,Number,6597,408
Woodhaven,Construction and Manufacturing,2015,Number,8913,409
Howard Beach,Construction and Manufacturing,2015,Number,7558,410
Bayside,Construction and Manufacturing,2015,Number,5903,411
Jamaica/St. Albans,Construction and Manufacturing,2015,Number,9675,412
Queens Village,Construction and Manufacturing,2015,Number,7576,413
